week_key,season,week,contestant,bootstrap_mean,bootstrap_std,ci_lower,ci_upper,ci_width,n_bootstrap
2_1,2,1,Master P,0.018450184501845126,1.0408340855860843e-16,0.018450184501845022,0.018450184501845022,0.0,500
2_1,2,1,Drew Lachey,0.1845018450184494,8.049116928532385e-16,0.1845018450184502,0.1845018450184502,0.0,500
2_1,2,1,Kenny Mayne,0.003690036900368969,3.5561831257524545e-17,0.0036900369003690045,0.0036900369003690045,0.0,500
2_2,2,2,Tatum O'Neal,0.004074241738343091,5.117434254131581e-17,0.004074241738343142,0.004074241738343142,0.0,500
2_2,2,2,Tia Carrere,0.11317338162064215,6.800116025829084e-16,0.11317338162064283,0.11317338162064283,0.0,500
2_2,2,2,George Hamilton,0.11317338162064215,6.800116025829084e-16,0.11317338162064283,0.11317338162064283,0.0,500
2_2,2,2,Lisa Rinna,0.06790402897238577,8.326672684688674e-17,0.06790402897238569,0.06790402897238569,0.0,500
2_2,2,2,Stacy Keibler,0.20371208691715473,2.3592239273284576e-15,0.2037120869171571,0.2037120869171571,0.0,500
2_2,2,2,Jerry Rice,0.13580805794477155,1.6653345369377348e-16,0.13580805794477138,0.13580805794477138,0.0,500
2_2,2,2,Giselle Fernandez,0.15844273426890138,1.4155343563970746e-15,0.15844273426889996,0.15844273426889996,0.0,500
2_2,2,2,Master P,0.02263467632412868,1.1796119636642288e-16,0.022634676324128564,0.022634676324128564,0.0,500
2_2,2,2,Drew Lachey,0.18107741059302945,9.43689570931383e-16,0.1810774105930285,0.1810774105930285,0.0,500
2_3,2,3,Tia Carrere,0.17564402810304577,1.2490009027033011e-15,0.17564402810304452,0.17564402810304452,0.0,500
2_3,2,3,George Hamilton,0.11709601873536186,1.1379786002407855e-15,0.117096018735363,0.117096018735363,0.0,500
2_3,2,3,Lisa Rinna,0.14637002341920385,8.326672684688674e-17,0.14637002341920377,0.14637002341920377,0.0,500
2_3,2,3,Stacy Keibler,0.23419203747072373,2.275957200481571e-15,0.234192037470726,0.234192037470726,0.0,500
2_3,2,3,Jerry Rice,0.05854800936768093,5.689893001203927e-16,0.0585480093676815,0.0585480093676815,0.0,500
2_3,2,3,Giselle Fernandez,0.004683840749414524,3.469446951953614e-18,0.004683840749414521,0.004683840749414521,0.0,500
2_3,2,3,Master P,0.029274004683840466,2.8449465006019636e-16,0.02927400468384075,0.02927400468384075,0.0,500
2_3,2,3,Drew Lachey,0.23419203747072373,2.275957200481571e-15,0.234192037470726,0.234192037470726,0.0,500
2_4,2,4,Tia Carrere,0.14214641080312765,4.163336342344337e-16,0.14214641080312723,0.14214641080312723,0.0,500
2_4,2,4,George Hamilton,0.07107320540156382,2.0816681711721685e-16,0.07107320540156362,0.07107320540156362,0.0,500
2_4,2,4,Lisa Rinna,0.21321961620469262,1.7763568394002505e-15,0.21321961620469085,0.21321961620469085,0.0,500
2_4,2,4,Stacy Keibler,0.21321961620469262,1.7763568394002505e-15,0.21321961620469085,0.21321961620469085,0.0,500
2_4,2,4,Jerry Rice,0.10660980810234631,8.881784197001252e-16,0.10660980810234542,0.10660980810234542,0.0,500
2_4,2,4,Master P,0.004975124378109499,4.5102810375396984e-17,0.0049751243781094535,0.0049751243781094535,0.0,500
2_4,2,4,Drew Lachey,0.2487562189054708,1.8596235662471372e-15,0.24875621890547267,0.24875621890547267,0.0,500
